	n		
2	2	0.0125791170934251	0.987420882906575
4	4	0.067585986488543	0.932414013511457
6	6	0.118117248757025	0.881882751242975
8	8	0.157012770487058	0.842987229512942
10	10	0.187086028447399	0.812913971552601
12	12	0.210944638239297	0.789055361760703
14	14	0.230360541448062	0.769639458551938
16	16	0.246510111490575	0.753489888509425
18	18	0.260190582895097	0.739809417104903
20	20	0.271957849560792	0.728042150439208
22	22	0.282210520938093	0.717789479061907
24	24	0.291241779836212	0.708758220163788
26	26	0.299272179441596	0.700727820558404
28	28	0.306470961532318	0.693529038467682
30	30	0.312970285868027	0.687029714131973
32	32	0.318874964234164	0.681125035765836
34	34	0.324269270021321	0.675730729978679
36	36	0.32922179945771	0.67077820054229
38	38	0.333789006113097	0.666210993886903
40	40	0.338017813737234	0.661982186262766
42	42	0.341947577050962	0.658052422949038
44	44	0.345611573497254	0.654388426502746
46	46	0.349038152423704	0.650961847576296
48	48	0.352251630553343	0.647748369446657
50	50	0.355272997129908	0.644727002870092
52	52	0.358120474592529	0.641879525407471
54	54	0.360809968385007	0.639190031614993
56	56	0.363355430824811	0.636644569175189
58	58	0.36576915772593	0.63423084227407
60	60	0.368062031942437	0.631937968057563
62	62	0.370243724672915	0.629756275327085
64	64	0.372322862895607	0.627677137104393
66	66	0.374307169451555	0.625692830548445
68	68	0.376203580890874	0.623796419109126
70	70	0.378018347126782	0.621981652873218
72	72	0.379757116118048	0.620242883881952
74	74	0.381425006161394	0.618574993838606
76	76	0.383026667876041	0.616973332123959
78	78	0.384566337569782	0.615433662430218
80	80	0.386047883364909	0.613952116635091
82	82	0.387474845214576	0.612525154785424
84	84	0.388850469741551	0.611149530258449
86	86	0.390177740671372	0.609822259328628
88	88	0.39145940550225	0.60854059449775
90	90	0.392697998948573	0.607302001051427
92	92	0.393895863608518	0.606104136391482
94	94	0.395055168235342	0.604944831764658
96	96	0.396177923933352	0.603822076066648
98	98	0.397265998551019	0.602734001448981
100	100	0.398321129503301	0.601678870496699
102	102	0.399344935221492	0.600655064778508
104	104	0.400338925400617	0.599661074599383
106	106	0.40130451019057	0.59869548980943
108	108	0.402243008457097	0.597756991542903
110	110	0.403155655221689	0.596844344778311
112	112	0.404043608374961	0.595956391625039
114	114	0.404907954745793	0.595092045254207
116	116	0.405749715597901	0.594250284402099
118	118	0.40656985161654	0.59343014838346
120	120	0.407369267440197	0.592630732559803
122	122	0.408148815785481	0.591851184214519
124	124	0.408909301207611	0.591090698792389
126	126	0.409651483533885	0.590348516466115
128	128	0.410376081003185	0.589623918996815
130	130	0.411083773140739	0.588916226859261
132	132	0.411775203394116	0.588224796605884
134	134	0.412450981553493	0.587549018446507
136	136	0.413111685976731	0.586888314023269
138	138	0.413757865637567	0.586242134362433
140	140	0.414390042013289	0.585609957986711
142	142	0.415008710826524	0.584991289173476
144	144	0.415614343654263	0.584385656345737
146	146	0.416207389415913	0.583792610584087
148	148	0.416788275750952	0.583211724249048
150	150	0.417357410295734	0.582642589704266
152	152	0.417915181868046	0.582084818131954
154	154	0.418461961567171	0.581538038432829
156	156	0.41899810379649	0.58100189620351
158	158	0.419523947214977	0.580476052785023
160	160	0.420039815623346	0.579960184376654
162	162	0.420546018790087	0.579453981209913
164	164	0.421042853222145	0.578957146777855
166	166	0.42153060288457	0.57846939711543
168	168	0.422009539873066	0.577990460126934
170	170	0.42247992504306	0.57752007495694
172	172	0.422942008598544	0.577057991401456
174	174	0.423396030643713	0.576603969356287
176	176	0.423842221700123	0.576157778299877
178	178	0.424280803191904	0.575719196808096
180	180	0.424711987901317	0.575288012098683
182	182	0.425135980396779	0.574864019603221
184	184	0.425552977435291	0.574447022564709
186	186	0.425963168341068	0.574036831658932
188	188	0.426366735362004	0.573633264637996
190	190	0.426763854005494	0.573236145994506
192	192	0.427154693355007	0.572845306644993
194	194	0.427539416368701	0.572460583631299
196	196	0.427918180161265	0.572081819838735
198	198	0.428291136270097	0.571708863729903
200	200	0.428658430906832	0.571341569093168
202	202	0.429020205195156	0.570979794804844
204	204	0.429376595395794	0.570623404604206
206	206	0.429727733119466	0.570272266880534
208	208	0.430073745528571	0.569926254471429
210	210	0.430414755528304	0.569585244471696
212	212	0.430750881947831	0.569249118052169
214	214	0.431082239712151	0.568917760287849
216	216	0.431408940005196	0.568591059994804
218	218	0.431731090424682	0.568268909575318
220	220	0.432048795129214	0.567951204870786
222	222	0.432362154978093	0.567637845021907
224	224	0.432671267664242	0.567328732335758
226	226	0.432976227840656	0.567023772159344
228	228	0.433277127240746	0.566722872759254
230	230	0.433574054792909	0.566425945207091
232	232	0.433867096729667	0.566132903270333
234	234	0.434156336691657	0.565843663308343
236	236	0.434441855826779	0.565558144173221
238	238	0.43472373288474	0.56527626711526
240	240	0.435002044307265	0.564997955692735
242	242	0.435276864314198	0.564723135685802
244	244	0.435548264985713	0.564451735014287
246	246	0.435816316340846	0.564183683659154
248	248	0.436081086412533	0.563918913587467
250	250	0.436342641319338	0.563657358680662
252	252	0.436601045334052	0.563398954665948
254	254	0.436856360949306	0.563143639050694
256	256	0.437108648940364	0.562891351059636
258	258	0.437357968425234	0.562642031574766
260	260	0.437604376922223	0.562395623077777
262	262	0.437847930405081	0.562152069594919
264	264	0.438088683355836	0.561911316644164
266	266	0.438326688815436	0.561673311184564
268	268	0.438561998432319	0.561438001567681
270	270	0.438794662508986	0.561205337491014
272	272	0.439024730046696	0.560975269953304
274	274	0.439252248788358	0.560747751211642
276	276	0.439477265259713	0.560522734740287
278	278	0.439699824808878	0.560300175191122
280	280	0.439919971644335	0.560080028355665
282	282	0.440137748871435	0.559862251128565
284	284	0.440353198527486	0.559646801472514
286	286	0.440566361615483	0.559433638384517
288	288	0.440777278136552	0.559222721863448
290	290	0.440985987121159	0.559014012878841
292	292	0.441192526659135	0.558807473340865
294	294	0.441396933928582	0.558603066071418
296	296	0.4415992452237	0.5584007547763
298	298	0.44179949598158	0.55820050401842
300	300	0.441997720808016	0.558002279191984
302	302	0.442193953502377	0.557806046497623
304	304	0.442388227081566	0.557611772918434
306	306	0.442580573803129	0.557419426196871
308	308	0.442771025187526	0.557228974812474
310	310	0.442959612039612	0.557040387960388
312	312	0.443146364469365	0.556853635530635
314	314	0.443331311911878	0.556668688088122
316	316	0.443514483146653	0.556485516853347
318	318	0.443695906316233	0.556304093683767
320	320	0.443875608944184	0.556124391055816
322	322	0.444053617952468	0.555946382047532
324	324	0.444229959678215	0.555770040321785
326	326	0.444404659889939	0.555595340110061
328	328	0.444577743803198	0.555422256196802
330	330	0.444749236095738	0.555250763904262
332	332	0.444919160922131	0.555080839077869
334	334	0.445087541927926	0.554912458072074
336	336	0.445254402263343	0.554745597736657
338	338	0.445419764596513	0.554580235403487
340	340	0.445583651126294	0.554416348873706
342	342	0.445746083594665	0.554253916405335
344	344	0.445907083298736	0.554092916701264
346	346	0.44606667110236	0.55393332889764
348	348	0.446224867447388	0.553775132552612
350	350	0.446381692364564	0.553618307635436
352	352	0.446537165484081	0.553462834515919
354	354	0.446691306045804	0.553308693954196
356	356	0.44684413290918	0.55315586709082
358	358	0.446995664562842	0.553004335437158
360	360	0.447145919133919	0.552854080866081
362	362	0.447294914397057	0.552705085602943
364	364	0.447442667783176	0.552557332216824
366	366	0.447589196387954	0.552410803612046
368	368	0.447734516980059	0.552265483019941
370	370	0.447878646009143	0.552121353990857
372	372	0.448021599613586	0.551978400386414
374	374	0.448163393628021	0.551836606371979
376	376	0.448304043590637	0.551695956409363
378	378	0.448443564750262	0.551556435249738
380	380	0.448581972073252	0.551418027926748
