A1BG-AS1__chr19	NR_015380__chr19__1
A1BG__chr19	NM_130786__chr19__1
A1CF__chr10	NM_001198818__chr10__1|NM_001198819__chr10__1|NM_001198820__chr10__1|NM_014576__chr10__1|NM_138932__chr10__1|NM_138933__chr10__1
A2M-AS1__chr12	NR_026971__chr12__1
A2ML1__chr12	NM_144670__chr12__1|NM_001282424__chr12__1
A2MP1__chr12	NR_040112__chr12__1
A2M__chr12	NM_000014__chr12__1
A3GALT2__chr1	NM_001080438__chr1__1
A4GALT__chr22	NM_017436__chr22__1|NM_001318038__chr22__1
A4GNT__chr3	NM_016161__chr3__1
AA06__chr17	NR_037584__chr17__1
AAAS__chr12	NM_001173466__chr12__1|NM_015665__chr12__1
AACSP1__chr5	NR_024035__chr5__1|NR_135095__chr5__1
AACS__chr12	NM_001319839__chr12__1|NM_001319840__chr12__1|NM_023928__chr12__1
AADACL2-AS1__chr3	NR_110202__chr3__1|NR_110203__chr3__1
AADACL2-AS1__chr3_GL383526v1_alt	NR_110203__chr3_GL383526v1_alt__1|NR_110202__chr3_GL383526v1_alt__1
AADACL2__chr3	NM_207365__chr3__1
AADACL2__chr3_GL383526v1_alt	NM_207365__chr3_GL383526v1_alt__1
AADACL3__chr1	NM_001103170__chr1__1|NR_111984__chr1__1
AADACL4__chr1	NM_001013630__chr1__1
AADACP1__chr3	NR_026915__chr3__1
AADAC__chr3	NM_001086__chr3__1
AADAT__chr4	NM_016228__chr4__1|NM_001286682__chr4__1|NM_182662__chr4__1|NM_001286683__chr4__1
AAED1__chr9	NM_153698__chr9__1
AAGAB__chr15	NM_001271886__chr15__1|NM_024666__chr15__1|NM_001271885__chr15__1
AAK1__chr2	NM_014911__chr2__1
AAMDC__chr11	NM_001316960__chr11__1|NM_001316961__chr11__1|NM_001316962__chr11__1|NM_024684__chr11__1|NM_001316957__chr11__1|NM_001316958__chr11__1|NR_133637__chr11__1
AAMP__chr2	NM_001087__chr2__1|NM_001302545__chr2__1
AANAT__chr17	NM_001166579__chr17__1|NM_001088__chr17__1|NR_110548__chr17__1
AAR2__chr20	NM_001271874__chr20__1|NM_015511__chr20__1
AARD__chr8	NM_001025357__chr8__1
AARS2__chr6	NM_020745__chr6__1
AARSD1__chr17	NM_001261434__chr17__1
AARS__chr16	NM_001605__chr16__1
AASDHPPT__chr11	NM_015423__chr11__1
AASDH__chr4	NM_001286668__chr4__1|NM_001286669__chr4__1|NM_001286670__chr4__1|NM_001286671__chr4__1|NM_181806__chr4__1|NM_001286672__chr4__1|NM_001323890__chr4__1|NM_001323892__chr4__1|NM_001323893__chr4__1|NM_001323899__chr4__1
AASS__chr7	NM_005763__chr7__1
AATBC__chr21	NR_026961__chr21__1
AATF__chr17	NM_012138__chr17__1
AATF__chr17_KI270857v1_alt	NM_012138__chr17_KI270857v1_alt__1
AATK-AS1__chr17	NR_027255__chr17__1
AATK__chr17	NM_001080395__chr17__1|NM_004920__chr17__1
ABALON__chr20	NR_131907__chr20__1
ABAT__chr16	NM_020686__chr16__1|NM_000663__chr16__1|NM_001127448__chr16__1
ABCA10__chr17	NM_080282__chr17__1
ABCA11P__chr4	NR_002451__chr4__1
ABCA12__chr2	NM_015657__chr2__1|NM_173076__chr2__1|NR_103740__chr2__1
ABCA13__chr7	NM_152701__chr7__1
ABCA17P__chr16	NR_003574__chr16__1
ABCA1__chr9	NM_005502__chr9__1
ABCA2__chr9	NM_001606__chr9__1|NM_212533__chr9__1
ABCA3__chr16	NM_001089__chr16__1
ABCA4__chr1	NM_000350__chr1__1
ABCA5__chr17	NM_018672__chr17__1|NM_172232__chr17__1
ABCA6__chr17	NM_080284__chr17__1
ABCA7__chr19	NM_019112__chr19__1
ABCA8__chr17	NM_001288985__chr17__1|NM_001288986__chr17__1|NM_007168__chr17__1
ABCA9-AS1__chr17	NR_126414__chr17__1
ABCA9__chr17	NM_080283__chr17__1
ABCB10__chr1	NM_012089__chr1__1
ABCB11__chr2	NM_003742__chr2__1
ABCB11__chr2_GL383522v1_alt	NM_003742__chr2_GL383522v1_alt__1
ABCB1__chr7	NM_000927__chr7__1
ABCB4__chr7	NM_000443__chr7__1|NM_018849__chr7__1|NM_018850__chr7__1
ABCB5__chr7	NM_001163941__chr7__1|NM_178559__chr7__1|NM_001163942__chr7__1|NM_001163993__chr7__1
ABCB6__chr2	NM_005689__chr2__1
ABCB7__chrX	NM_001271696__chrX__1|NM_001271697__chrX__1|NM_001271698__chrX__1|NM_001271699__chrX__1|NM_004299__chrX__1
ABCB8__chr7	NM_001282291__chr7__1|NM_001282292__chr7__1|NM_001282293__chr7__1|NM_007188__chr7__1
ABCB9__chr12	NM_001243014__chr12__1|NM_203444__chr12__1|NM_001243013__chr12__1|NM_019624__chr12__1|NM_019625__chr12__1
ABCC10__chr6	NM_001198934__chr6__1|NM_033450__chr6__1
ABCC11__chr16	NM_032583__chr16__1|NM_145186__chr16__1|NM_033151__chr16__1
ABCC12__chr16	NM_033226__chr16__1
ABCC13__chr21	NR_003088__chr21__1|NR_003087__chr21__1
ABCC1__chr16	NM_004996__chr16__1
ABCC1__chr16_KI270853v1_alt	NM_004996__chr16_KI270853v1_alt__1
ABCC2__chr10	NM_000392__chr10__1
ABCC3__chr17	NM_001144070__chr17__1|NM_003786__chr17__1
ABCC4__chr13	NM_001301829__chr13__1|NM_005845__chr13__1|NM_001105515__chr13__1|NM_001301830__chr13__1
ABCC5-AS1__chr3	NR_046570__chr3__1
ABCC5__chr3	NM_001320032__chr3__1|NM_005688__chr3__1|NM_001023587__chr3__1|NR_135125__chr3__1
ABCC6P1__chr16	NR_003569__chr16__1
ABCC6P2__chr16	NR_023387__chr16__1
ABCC6P2__chr16_KI270853v1_alt	NR_023387__chr16_KI270853v1_alt__1
ABCC6__chr16	NM_001171__chr16__1|NM_001079528__chr16__1
ABCC6__chr16_KI270853v1_alt	NM_001171__chr16_KI270853v1_alt__1|NM_001079528__chr16_KI270853v1_alt__1
ABCC8__chr11	NM_000352__chr11__1|NM_001287174__chr11__1
ABCC9__chr12	NM_020297__chr12__1|NM_005691__chr12__1
ABCD1__chrX	NM_000033__chrX__1
