Transcript	Length
Hist1h4i__chr13	538
Foxb2__chr19	1516
Angptl1__chr1	2196
Pcdha12__chr18	5258
Fam129b__chr2	3707
Aspa__chr11	1543
S100a13__chr3	719
4930404I05Rik__chr16	981
Rgs11__chr17	2023
Myl12a__chr17	1783
Kat6b__chr14	7354
4930452B06Rik__chr14	2767
A630066F11Rik__chr10	1254
Olfr792__chr10	937
Kcnmb4__chr10	1008
Tmem29__chrX	2759
Dlx6__chr6	1075
Gm5617__chr9	634
Slc24a6__chr5	2897
Catsperb__chr12	3743
Abca9__chr11	6307
Slc10a2__chr8	1635
Dpys__chr15	2895
Zfp407__chr18	7917
Zfp462__chr4	10509
Yap1__chr9	4178
Bgn__chrX	2397
H2-M10.6__chr17	1411
9630013A20Rik__chr14	2062
Nup62cl__chrX	1137
Cela2a__chr4	920
Zfp938__chr10	2035
9330188P03Rik__chr14	1085
Pwp1__chr10	2594
Myl4__chr11	892
Atcay__chr10	3690
Gltscr2__chr7	1570
Nol11__chr11	3178
Lrig3__chr10	4069
Il1b__chr2	1334
Sult2a3__chr7	864
Epm2a__chr10	1083
Hnrnpl__chr7	2155
Olfr729__chr14	973
Cdh1__chr8	4429
Vmn2r49__chr7	2565
S100pbp__chr4	1553
1600029D21Rik__chr9	1850
Dmrtc1b__chrX	1191
Dcaf10__chr4	7220
ERCC-00039	740
Apex2__chrX	1891
Apcs__chr1	986
Fam103a1__chr7	1426
Wasf3__chr5	2695
Gm3776__chr9	881
Beta-s__chr7	642
Trak1__chr9	4901
2610306M01Rik__chr6	1035
Serpina3j__chr12	2003
Nop10__chr2	697
Mog__chr17	1715
Pstpip2__chr18	2277
Ldb2__chr5	2637
Kbtbd12__chr6	1989
Grap__chr11	1604
Gm5643__chrX	1734
Gm9079__chr10	1769
Foxf1__chr8	2427
Trafd1__chr5	2498
Fam131a__chr16	2277
Cd72__chr4	1512
Zfp300__chrX	4663
Mrps10__chr17	1189
Rnf169__chr7	7163
Vmn1r157__chr7	895
Keg1__chr19	1672
Rnu7__chr5	26
Mir293__chr7	81
Olfr891__chr9	952
Cd83__chr13	2150
Fam169b__chr7	2830
Prim2__chr1	1951
Ptprc__chr1	5699
Dnajc8__chr4	1401
Pcdhga10__chr18	4538
Cd209g__chr8	1093
Tubb2a-ps2__chr12	705
Olfr1477__chr19	1102
Olfr183__chr16	1198
Gm10789__chr16	4592
Tceanc2__chr4	6248
Rtbdn__chr8	1914
Lmtk3__chr7	4844
Agmo__chr12	2168
Fam102b__chr3	5713
Sf3b1__chr1	6216
Tmem184b__chr15	3466
Wnt4__chr4	3828
Zfp692__chr11	1961
Pik3r1__chr13	7396
4930447K03Rik__chr13	1038
Cask__chrX	8283
Sp100__chr1	2178
Zfp326__chr5	2735
Gm2030__chrX	1138
Rrp1b__chr17	5093
Olfr1512__chr14	943
Mutyh__chr4	1753
Olfr1312__chr2	955
Psmb11__chr14	4248
Hist1h3c__chr13	481
3110056K07Rik__chr12	1592
Col19a1__chr1	10593
Sema4b__chr7	3961
Fam219b__chr9	3060
ERCC-00040	744
Ube2d2b__chr5	1617
Gemin5__chr11	6242
Jmy__chr13	8791
Dchs1__chr7	10672
Mir1188__chr12	121
Ankrd46__chr15	2485
Serpina3n__chr12	2090
Olfr1341__chr4	940
Dis3l__chr9	3989
4632434I11Rik__chr7	3456
Irs2__chr8	4014
Mir511__chr2	80
Fam111a__chr19	3203
Vmn2r95__chr17	2544
Tekt2__chr4	1504
Hcn4__chr9	3806
Lrrc17__chr5	2192
1700065I17Rik__chr18	567
Sh2d1a__chrX	823
Dbpht2__chr12	2996
Gfm2__chr13	5381
F830016B08Rik__chr18	3299
Mfsd12__chr10	1712
Olfr341__chr2	943
Vmn2r61__chr7	2604
4930448I06Rik__chr1	576
Wnt3__chr11	3120
Pdlim5__chr3	6832
Rai2__chrX	2511
Btnl1__chr17	2123
Bnip1__chr17	1091
AU023762__chr9	2184
Lce6a__chr3	794
Mtmr1__chrX	4649
Fzd2__chr11	3629
Vmn2r121__chrX	3068
Olfr461__chr6	943
Scgb3a1__chr11	617
U2af2__chr7	2214
Tiam1__chr16	7828
Zfp786__chr6	2833
3632451O06Rik__chr14	2756
Mir137__chr3	74
Crybb3__chr5	834
Lrrc51__chr7	1101
Itgb1__chr8	4210
Mef2b__chr8	1351
E130112N10Rik__chr6	1353
Casq1__chr1	1885
Ddx26b__chrX	3825
Kif4__chrX	4742
Nek11__chr9	2641
Tnni2__chr7	673
Nos1__chr5	4416
Mir196b__chr6	86
Daw1__chr1	1681
A730085A09Rik__chr4	2391
Megf8__chr7	10081
Olfr1310__chr2	940
Zswim5__chr4	5411
Ttc29__chr8	2464
Casd1__chr6	3778
C2cd2__chr16	6570
Gm4841__chr18	2840
Dlg5__chr14	7885
Srsf5__chr12	1661
Mir124a-1__chr14	86
Pira7__chr7	2171
A230028O05Rik__chr16	2796
Myh2__chr11	6123
Apol7d__chr1	1197
Lpar5__chr6	1518
Enc1__chr13	4746
9530002B09Rik__chr4	830
Gm5039__chr12	1642
Zxda__chrX	7006
Zfp930__chr8	3000
Ppp3cc__chr14	1962
Psmc1__chr12	1502
Neu3__chr7	3344
Gm5622__chr14	1586
BC051226__chr17	842
Cacng1__chr11	1207
1700094M24Rik__chr6	667
Mir381__chr12	76
Kctd17__chr15	1581
2700089I24Rik__chr19	1832
Gm19689__chr17	1547
Fam154b__chr7	2791
Chmp4b__chr2	1611
Vmn2r26__chr6	2574
Cep170b__chr12	6659
4933438B17Rik__chr5	1170
Gm8096__chr8	1661
Gm4216__chr7	1838
Pyy__chr11	503
Nacc1__chr8	4310
Rdh10__chr1	2301
Mirlet7d__chr13	104
Mllt11__chr3	2516
Serpina3a__chr12	1869
Zmynd19__chr2	1237
Gsdma2__chr11	1677
Nr3c2__chr8	4096
Nxf2__chrX	2394
9330175M20Rik__chr1	2557
Pfn3__chr13	546
Aldh8a1__chr10	2250
Olfr639__chr7	952
Hrnr__chr3	10662
Utf1__chr7	1162
Atp6v1g3__chr1	1890
Hscb__chr5	810
Ifnar2__chr16	3184
Gkn2__chr6	783
Ccdc14__chr16	4120
2010320M18Rik__chr8	746
Vmn1r117__chr7	925
Glt25d1__chr8	3193
Pex6__chr17	3217
Gpr20__chr15	2143
Raly__chr2	1852
Zfp319__chr8	4109
Gm14430__chr2	27258
Cphx1__chr14	4971
Sart3__chr5	3605
Pgls__chr8	888
Tubgcp3__chr8	3671
Fbxw14__chr9	1507
Gstm7__chr3	1313
Gm1082__chr7	2660
Akirin1__chr4	2375
Stra6__chr9	3664
Olfr118__chr17	967
Baz1b__chr5	6452
Adam25__chr8	2623
4930425O10Rik__chr3	1422
Prpf3__chr3	2748
Pla2g7__chr17	1927
Tram1l1__chr3	2225
A530053G22Rik__chr6	1450
Tvp23b__chr11	1755
Mark1__chr1	4583
Stk31__chr6	3262
Gm21950__chrX	1905
Gm1141__chrX	2157
Cmklr1__chr5	2848
Arhgdia__chr11	2738
H2-Q5__chr17	1184
Zfp429__chr13	2036
Entpd2__chr2	1946
Il1f9__chr2	1652
Gm7978__chr5	3196
Kif22__chr7	2078
Wdr89__chr12	2983
Cldn24__chr8	664
Bcl7b__chr5	1672
Tmem33__chr5	6168
Cd46__chr1	1224
Cnga1__chr5	2747
Akr1b8__chr6	1314
Olfr346__chr2	931
Ints9__chr14	2726
B3gnt3__chr8	2105
Arl16__chr11	2028
4930503H13Rik__chrX	636
Prcc__chr3	2060
Slc45a4__chr15	4783
Lzts3__chr2	4209
Ccdc62__chr5	3933
March11__chr15	1551
Bcan__chr3	3822
Olfr1396__chr11	982
Lmcd1__chr6	1734
Il5__chr11	1538
Nrxn3__chr12	9466
Dynlt1f__chr17	1984
Zbtbd6__chr14	2983
Mir133a-1__chr18	69
Ccdc8__chr7	2059
Wnt2b__chr3	3578
Gm10697__chr3	2048
Actrt3__chr3	1894
Acad8__chr9	2875
Mir1906-2__chr12	81
Bag5__chr12	2138
4930564C03Rik__chr17	1183
Adra2b__chr2	3937
Acn9__chr6	552
Miip__chr4	1823
Pik3c3__chr18	3127
Xpo7__chr14	15146
Rgs8__chr1	5811
Olfr1018__chr2	937
Tprkb__chr6	2248
Sf3b5__chr10	735
Cdkn1b__chr6	2408
Rims1__chr1	4099
Ufc1__chr1	971
Galnt1__chr18	4076
Mir154__chr12	67
Nags__chr11	2122
Efcab11__chr12	2075
Gm10787__chr10	1551
Smg5__chr3	4469
Vmn1r220__chr13	898
Vmn2r7__chr3	2489
Pcdhga6__chr18	4544
G630025P09Rik__chr11	2371
Tmem132c__chr5	5122
Ceacam14__chr7	1027
Serf2__chr2	3032
Olfr1247__chr2	1066
Taf13__chr3	1293
Immp2l__chr12	778
Ropn1l__chr15	915
Klrb1c__chr6	2638
Ccr1l1__chr9	1461
Zfp672__chr11	3651
Il2rg__chrX	1620
Thpo__chr16	2519
Ncoa4__chr14	3588
Olfr380__chr11	937
Mul1__chr4	3736
G630090E17Rik__chr10	1786
Sept2__chr1	3347
Gm4013__chr18	418
Gm14525__chrX	901
Lrp2__chr2	15546
Ist1__chr8	2352
Mir32__chr4	71
Cmtm3__chr8	1621
Prdm11__chr2	1877
