Transcript	Length
SNORD10__chr17	149
LOC389906__chrX	1796
AQPEP__chr5	4641
ZNF189__chr9	3308
HS3ST2__chr16	1954
SRP14__chr15	1131
PHF21A__chr11	7361
ABHD13__chr13	5304
NMRK2__chr19	1134
THAP8__chr19	1829
SOX14__chr3	2040
SPOCK2__chr10	6268
NRL__chr14	1977
PMP22__chr17	1994
RAG2__chr11	2823
PCSK1__chr5	5324
TM9SF2__chr13	3532
GUCA2A__chr1	578
SRSF1__chr17	5646
DDX11L1__chr1	1655
SLC22A11__chr11	2522
LINC00574__chr6	2569
BRAT1__chr7	3027
CLEC10A__chr17	1789
CC2D1A__chr19	3669
SRP54__chr14	2297
SIAH2__chr3	2622
LOXL2__chr8	3824
FHIT__chr3	1100
RHPN1-AS1__chr8	2014
PHACTR1__chr6	2896
IL17RE__chr3	2873
KIAA1875__chr8	7142
DEFB4B__chr8	300
ARHGAP8__chr22	1738
SNORD47__chr1	78
FAM122B__chrX	4414
ALDH6A1__chr14	2192
UBTD2__chr5	3018
SURF1__chr9	1046
VTI1B__chr14	1336
MIR3685__chr12	63
NEU1__chr6	2077
ERCC-00039	740
PFKL__chr21	3426
SLC9A3R2__chr16	2371
LINC00494__chr20	3597
GABARAPL2__chr16	1006
EDEM2__chr20	2139
HEY2__chr6	2677
GBP1P1__chr1	1239
CDH2__chr18	4383
SLC35E4__chr22	2544
CACNG5__chr17	931
MBD3L2__chr19	776
ANKRD13D__chr11	2293
SNORA2B__chr12	138
LINC00837__chr10	4017
PFN3__chr5	531
MIR1228__chr12	74
CDH23__chr10	13785
MAGEB18__chrX	1815
LINC00475__chr9	2004
SNORD114-3__chr14	75
HIST1H3B__chr6	473
SAMD14__chr17	3311
MIR5006__chr13	111
IGFLR1__chr19	1201
LHX6__chr9	4366
GABRG2__chr5	4088
RAB5B__chr12	5435
MIR4679-1__chr10	76
SRGAP2D__chr1	2146
MPP1__chrX	2210
SLC25A36__chr3	4668
ZNF429__chr19	2365
BEND3P3__chr10	5921
RUSC1-AS1__chr1	1308
ZNF217__chr20	5640
MROH1__chr8	5880
GNRHR2__chr1	6258
COQ4__chr9	1579
KCNQ4__chr1	4113
TMCC2__chr1	4208
IDNK__chr9	1820
